keyword,mention_count,avg_priority,avg_semantic,avg_tiktok,max_engagement
fashion accessories,58,0.03061141379310345,0.04937321969016607,0.0,0.0
mocktail,58,0.014858844827586207,0.02396588616593816,0.0,0.0
sleep mask,57,0.022580070175438595,0.03429721887440269,0.0043859649122807015,0.0
walking pad,55,0.03253685454545455,0.03546368290772004,0.031818181818181815,4.0
viral product,54,0.0739049074074074,0.06220003432811349,0.10648148148148148,10.0
carry on backpack,54,0.04456525925925926,0.07187943048420316,0.0,0.0
vlogging camera,54,0.020729296296296298,0.031194305219205944,0.004629629629629629,0.0
camping & hiking,54,0.016913351851851853,0.027279521472441684,0.0,0.0
best purchase,53,0.03499145283018868,0.054155487021810125,0.0047169811320754715,0.0
cold foam,53,0.024473226415094338,0.03719050806536673,0.0047169811320754715,0.0
sound machine,53,0.020566641509433964,0.03317204869248367,0.0,0.0
sexual wellness,53,0.01949266037735849,0.03143971625842541,0.0,0.0
protein snack,52,0.030296826923076923,0.042458846110185654,0.009615384615384616,10.0
grwm,51,0.11039339215686274,0.03811087790578882,0.28921568627450983,0.0
portable blender,51,0.02483221568627451,0.040051987493656384,0.0,0.0
pet supplies,50,0.02673242,0.043116924056914155,0.0,0.0
kids fashion,50,0.021647319999999998,0.034915009708878536,0.0,0.0
mini fridge,50,0.01759022,0.028371406846364335,0.0,0.0
brand deal,49,0.05635620408163265,0.0736159109377061,0.03571428571428571,0.0
high protein breakfast,49,0.021204306122448977,0.03420044751418618,0.0,0.0
sleep routine,49,0.0204955306122449,0.03058858013638674,0.00510204081632653,0.0
cozy home,48,0.041196416666666666,0.06392566818684464,0.005208333333333333,0.0
magnesium glycinate,46,0.025005021739130436,0.040330718790120575,0.0,0.0
